序号,年份,组合,试点,基本苗（万/亩）,最高苗（万/亩）,分蘖率(%),有效穗（万/亩）,成穗率（%）,株高（cm）,穗长（cm）,每穗总粒数,每穗实粒数,结实率(%),千粒重(g),播期（月/日）,栽期（月/日）,秧龄/天,始穗（月/日）,齐穗（月/日）,成熟期（月/日）,全生育期（天）
2019,2011,双8S/R292,六安,3.7,17.2,364.9,12.8,74.4,138.3,24.1,211.3,171,80.9,27.3,4月28日,5月29日,31,8月8日,8月12日,9月13日,138
2020,2011,双8S/R292,全椒,4.8,27.6,475,14.8,53.6,137.5,25.1,231,159.4,69,29.8,4月28日,6月2日,35,8月12日,8月15日,9月18日,143
2021,2011,两优2388,省院,4.3,17.6,309.3,12.7,72.2,122,23,275.1,221.3,80.4,27.8,5月5日,6月7日,33,8月16日,8月19日,9月16日,134
2022,2011,两优2388,凤阳,4.2,18,328.6,10.9,60.6,117.2,24.6,213.7,177.5,83.1,28.9,5月9日,6月16日,38,8月27日,9月1日,10月16日,160
2023,2011,两优2388,芜湖,6.8,27,297.1,17.2,63.7,133.9,23.7,177.3,146.1,82.4,26.7,5月13日,6月13日,31,8月15日,8月20日,9月19日,129
2024,2011,两优2388,六安,3.5,16.2,362.9,11,67.9,136.3,24,236.2,208,88.1,27.1,4月28日,5月29日,31,8月10日,8月14日,9月15日,140
2025,2011,两优2388,全椒,4.4,24,445.5,12,50,130.5,24.8,258.6,190,73.5,27.8,4月28日,6月2日,35,8月14日,8月17日,9月16日,141
2026,2011,冈优485,省院,4.5,18.6,313.3,13.4,72,133,26.5,215.6,156.4,72.5,29.3,5月5日,6月7日,33,8月16日,8月19日,9月27日,145
2027,2011,冈优485,凤阳,3.8,17.9,371.1,13.2,73.7,125.8,27.5,232.1,190.8,82.2,27.7,5月9日,6月16日,38,8月28日,9月1日,10月19日,163
2028,2011,冈优485,芜湖,6.4,25.8,303.1,17.1,66.3,135.2,26.9,180.8,140.9,77.9,28.5,5月13日,6月13日,31,8月19日,8月22日,9月25日,135
2029,2011,冈优485,六安,3.6,16.8,366.7,12.5,74.4,144,24.8,176.5,160.7,91,27.5,4月28日,5月29日,31,8月12日,8月16日,9月18日,143
2030,2011,冈优485,全椒,4.2,23.6,461.9,13.7,58.1,141.7,26.1,221.1,160.9,72.8,30.8,4月28日,6月2日,35,8月15日,8月18日,9月16日,141
2031,2011,荃两优8112,省院,5.3,16.4,209.4,12.6,76.8,122,23.5,241.3,179.8,74.5,29.8,5月5日,6月7日,33,8月11日,8月14日,9月16日,134
2032,2011,荃两优8112,凤阳,3.9,20.5,425.6,12.6,61.5,128.1,27.2,238.1,205,86.1,31.4,5月9日,6月16日,38,8月30日,9月1日,10月20日,164
2033,2011,荃两优8112,芜湖,7,28.3,304.3,17.8,62.9,137.3,26.3,179,151.4,84.6,28.3,5月13日,6月13日,31,8月16日,8月19日,9月24日,134
2034,2011,荃两优8112,六安,3.1,15.1,387.1,9.5,62.9,131.7,26.3,268.8,218.8,81.4,27.5,4月28日,5月30日,32,8月10日,8月14日,9月15日,140
2035,2011,荃两优8112,全椒,5,26.4,428,12.7,48.1,140.3,25.1,242.2,176.8,73,30.3,4月28日,6月3日,36,8月13日,8月17日,9月18日,143
2036,2011,川106A/成恢3203,省院,5.2,23,342.3,14.2,61.7,122,26,169.5,149,87.9,30,5月5日,6月7日,33,8月12日,8月15日,9月26日,144
2037,2011,川106A/成恢3203,凤阳,4.9,24.4,398,15.6,63.9,121.5,28.3,187.5,152.1,81.1,30.3,5月9日,6月16日,38,8月25日,8月28日,10月20日,164
2038,2011,川106A/成恢3203,芜湖,6.8,27,297.1,18.4,68.1,132,24.8,182.2,152.5,83.7,27.3,5月13日,6月13日,31,8月12日,8月16日,9月19日,129
2039,2011,川106A/成恢3203,六安,4,19.2,380,13.6,70.8,134.3,24.9,153.7,130,84.6,29.7,4月28日,5月30日,32,8月9日,8月13日,9月14日,139
2040,2011,川106A/成恢3203,全椒,5,28.4,468,16.2,57,135,26.9,177.3,150.8,85.1,30.3,4月28日,6月3日,36,8月11日,8月13日,9月16日,141
2041,2011,Y58S/R2010,省院,4.3,22.2,416.3,16.2,73,100,26.3,187.9,146.3,77.9,26.7,5月5日,6月7日,33,8月8日,8月11日,9月16日,134
2042,2011,Y58S/R2010,凤阳,4.5,27.6,513.3,18.2,65.9,103.8,25.7,189.1,141.4,74.8,27.4,5月9日,6月16日,38,8月19日,8月21日,10月13日,157
2043,2011,Y58S/R2010,芜湖,6.7,26.4,294,16.5,62.5,119.2,25.9,203.9,160.1,78.5,24.9,5月13日,6月13日,31,8月21日,8月25日,9月30日,140
2044,2011,Y58S/R2010,六安,5.3,22.3,320.8,15.4,69.1,114,25.1,162,147.9,91.3,27.6,4月28日,5月30日,32,8月3日,8月7日,9月7日,132
2045,2011,Y58S/R2010,全椒,4.8,28,483,18.2,65,122.2,27.4,189.3,142.9,75.5,28,4月28日,6月3日,36,8月4日,8月8日,9月8日,133
2046,2011,两优1813,省院,5,21,320,14.4,68.6,122,22,197.9,175.2,88.5,29.6,5月5日,6月7日,33,8月15日,8月18日,9月22日,140
2047,2011,两优1813,凤阳,3.9,26.5,579.5,16,60.4,115.4,22.7,173.6,153.3,88.3,29.2,5月9日,6月16日,38,8月28日,9月1日,10月19日,163
2048,2011,两优1813,芜湖,7.2,27.1,276.4,19,70.1,128.7,25.3,182.5,145.6,79.8,25,5月13日,6月13日,31,8月17日,8月20日,9月23日,133
2049,2011,两优1813,六安,4,19.4,385,13.7,70.6,128,23.9,183,151.8,83,27.1,4月28日,5月30日,32,8月8日,8月12日,9月13日,138
2050,2011,两优1813,全椒,5,32,540,15.8,49.4,131.7,25.7,200.4,161,80.3,28,4月28日,6月3日,36,8月13日,8月16日,9月19日,144
2051,2011,天优1011,省院,4.5,17.6,291.1,12,68.2,133,27.3,244.5,218.1,89.2,30.2,5月5日,6月7日,33,8月14日,8月17日,9月24日,142
2052,2011,天优1011,凤阳,3.8,22.4,489.5,13.5,60.3,128.4,27.4,210.6,185,87.8,28.5,5月9日,6月16日,38,8月28日,9月1日,10月19日,163
2053,2011,天优1011,芜湖,6.9,27.9,304.3,16.7,59.9,144.8,24.9,178,137.8,77.4,26.8,5月13日,6月13日,31,8月13日,8月17日,9月21日,131
2054,2011,天优1011,六安,3.6,16.8,366.7,11.2,66.7,145,28.7,248.3,205.7,82.8,27.2,4月28日,5月30日,32,8月9日,8月13日,9月14日,139
2055,2011,天优1011,全椒,4.2,25.8,514.3,14.6,56.6,144.8,27.5,180.3,140.9,78.1,29.3,4月28日,6月3日,36,8月12日,8月15日,9月17日,142
2056,2011,两优1513,省院,5.6,19.8,253.6,14.4,72.7,120,22.5,176.9,163.7,92.5,28.5,5月5日,6月7日,33,8月15日,8月18日,9月27日,145
2057,2011,两优1513,凤阳,3.9,23.7,507.7,14.7,62,123.1,24,183.1,162.9,89,28.2,5月9日,6月16日,38,9月2日,9月5日,10月23日,167
2058,2011,两优1513,芜湖,7.6,28.2,271.1,17.5,62.1,141.2,24.8,190.4,154.2,81,25.4,5月13日,6月13日,31,8月18日,8月21日,9月23日,133
2059,2011,两优1513,六安,3.8,18.1,376.3,12.6,69.6,133.7,25.4,208.5,182.5,87.5,27.3,4月28日,5月30日,32,8月9日,8月13日,9月14日,139
2060,2011,两优1513,全椒,5.2,27.6,430.8,15,54.3,141.2,24.1,169.7,139.3,82.1,28.4,4月28日,6月3日,36,8月16日,8月18日,9月19日,144
2061,2011,凤两优89,省院,4.8,24.8,416.7,15.1,60.9,100,24.2,162.4,134.1,82.6,28.8,5月5日,6月7日,33,8月11日,8月14日,9月16日,134
2062,2011,凤两优89,凤阳,3.7,23.1,524.3,14.4,62.3,119.3,23.4,203.4,178.7,87.9,30.1,5月9日,6月16日,38,8月27日,9月1日,10月18日,162
2063,2011,凤两优89,芜湖,7.3,26.8,267.1,17.7,66,129.2,26.5,196.5,161.3,82.1,25.1,5月13日,6月13日,31,8月19日,8月23日,9月27日,137
2064,2011,凤两优89,六安,4.6,21.6,369.6,14.5,67.1,127,23.6,178.5,150.7,84.4,27.4,4月28日,5月30日,32,8月8日,8月12日,9月13日,138
2065,2011,凤两优89,全椒,3.8,23.2,510.5,17.2,74.1,132.2,24.1,175.3,145.9,83.2,28.1,4月28日,6月3日,36,8月10日,8月14日,9月18日,143
2066,2011,Ⅱ优838（CK）,省院,5.3,21.6,307.5,14.5,67.1,128,24.3,154.5,127.5,82.5,30.1,5月5日,6月7日,33,8月13日,8月16日,9月21日,139
2067,2011,Ⅱ优838（CK）,凤阳,4.5,23.7,426.7,15.2,64.1,123.8,27.6,169.4,155.8,92,28.9,5月9日,6月16日,38,8月23日,8月26日,10月12日,156
2068,2011,Ⅱ优838（CK）,芜湖,7.5,27.5,266.7,17.3,62.9,135.5,27.8,176.4,147.1,83.4,27.7,5月13日,6月13日,31,8月13日,8月17日,9月22日,132
2069,2011,Ⅱ优838（CK）,六安,4.6,21.4,365.2,14.2,66.4,135.1,25.1,151.8,136.8,90.1,28.3,4月28日,5月30日,32,8月8日,8月12日,9月13日,138
2070,2011,Ⅱ优838（CK）,全椒,5.6,33.2,492.9,15.6,47,138.5,26.2,164.4,149.5,90.9,29.7,4月28日,6月3日,36,8月11日,8月14日,9月15日,140
2071,2011,广优明415,省院,4.7,20.8,342.6,15.1,72.6,124,25,172.2,128.7,74.7,33,5月5日,6月7日,33,8月16日,8月19日,9月24日,142
2072,2011,广优明415,凤阳,3.6,23.6,555.6,14.6,61.9,126.7,26.2,200,160.2,80.1,31,5月9日,6月16日,38,8月31日,9月2日,10月23日,167
2073,2011,广优明415,芜湖,6.4,26.3,310.9,16.2,61.6,132.2,28.2,174,136.9,78.7,30,5月13日,6月13日,31,8月17日,8月20日,9月22日,132
2074,2011,广优明415,六安,4.6,21.4,365.2,14.1,65.9,133,26.5,181.3,134.7,74.3,31.6,4月28日,5月30日,32,8月11日,8月15日,9月16日,141
2075,2011,广优明415,全椒,4.6,29.2,534.8,14.6,50,135.2,26.3,181.5,140.2,77.2,32,4月28日,6月3日,36,8月13日,8月15日,9月17日,142
2076,2011,开两优1号,省院,5.1,23.6,362.7,17.8,75.4,124,27.2,210.3,189,89.8,27.3,5月5日,6月7日,33,8月12日,8月15日,9月16日,134
2077,2011,开两优1号,凤阳,3.4,23.2,582.4,14.8,63.8,123.4,27.7,208.5,177.8,85.3,27.4,5月9日,6月16日,38,9月1日,9月4日,10月22日,166
2078,2011,开两优1号,芜湖,8.1,28.7,254.3,18.1,63.1,138.8,25.1,201.2,171.4,85.2,25.3,5月13日,6月13日,31,8月18日,8月21日,9月23日,133
2079,2011,开两优1号,六安,3.7,17.1,362.2,12.6,73.7,129,27.6,168.4,147.6,87.6,27.1,4月28日,5月30日,32,8月4日,8月8日,9月8日,133
2080,2011,开两优1号,全椒,5,36,620,16,44.4,138.8,27.8,206,176.2,85.5,27.3,4月28日,6月3日,36,8月12日,8月14日,9月18日,143
2081,2011,Y两优179,省院,5.6,25.8,360.7,16.8,65.1,125,25,199.6,153.1,76.7,28.8,5月5日,6月7日,33,8月12日,8月15日,9月16日,134
2082,2011,Y两优179,凤阳,3.4,21.5,532.4,13.5,62.8,124.6,28.8,229.8,175.8,76.5,29,5月9日,6月16日,38,8月29日,9月1日,10月14日,158
2083,2011,Y两优179,芜湖,6.5,26.9,313.8,16.6,61.7,133.8,28.2,217.9,178.7,82,24.5,5月13日,6月13日,31,8月20日,8月23日,9月26日,136
2084,2011,Y两优179,六安,4.8,20.6,329.2,14.6,70.9,133.3,30.1,157.1,139.5,88.8,30.4,4月28日,5月30日,32,8月3日,8月7日,9月7日,132
2085,2011,Y两优179,全椒,5,28,460,13.6,48.6,136.8,28.4,226.7,192.4,84.9,27.5,4月28日,6月3日,36,8月11日,8月14日,9月15日,140
2086,2011,6两优1104,省院,4.3,17.8,314,13.4,75.3,112,23,194.1,173.5,89.4,30.6,5月5日,6月7日,33,8月11日,8月14日,9月17日,135
2087,2011,6两优1104,凤阳,4,24.3,507.5,14.9,61.3,124,23.5,191.2,163.1,85.3,28.9,5月9日,6月16日,38,8月26日,8月29日,10月20日,164
2088,2011,6两优1104,芜湖,7.1,27.8,291.5,16.8,60.4,132,25.7,188.6,162,85.9,27.1,5月13日,6月13日,31,8月14日,8月18日,9月24日,134
2089,2011,6两优1104,六安,3.8,18.6,389.5,13.6,73.1,134,24,181.5,141.5,78,28.7,4月28日,5月30日,32,8月3日,8月7日,9月7日,132
2090,2011,6两优1104,全椒,4.8,32.8,583.3,14,42.7,135,23.6,183.2,149.6,81.7,29.7,4月28日,6月3日,36,8月13日,8月17日,9月19日,144
2091,2011,两优6108,省院,4.8,16.8,250,12.7,75.6,131,27,207.4,163.7,78.9,28.9,5月5日,6月7日,33,8月13日,8月16日,9月25日,143
2092,2011,两优6108,凤阳,4.7,23.4,397.9,14.1,60.3,131.2,26.4,220.2,165.5,75.2,30,5月9日,6月16日,38,8月27日,9月1日,10月18日,162
2093,2011,两优6108,芜湖,8,29.2,265,18.2,62.3,148.3,27,184.2,148.3,80.5,26.7,5月13日,6月13日,31,8月20日,8月24日,9月25日,135
2094,2011,两优6108,六安,3.4,16.2,376.5,11.1,68.5,144.3,26.4,200.2,183.6,91.7,30.1,4月28日,5月30日,32,8月8日,8月12日,9月13日,138
2095,2011,两优6108,全椒,3.8,23.6,521.1,14.3,60.6,153.3,29.9,189.2,141,74.5,29.7,4月28日,6月3日,36,8月16日,8月19日,9月21日,146
2096,2011,矮两优6号,省院,5.8,23.8,310.3,17.2,72.3,112,22.5,183.7,162.9,88.7,23.1,5月5日,6月7日,33,8月12日,8月15日,9月23日,141
2097,2011,矮两优6号,凤阳,4.2,23.8,466.7,14.3,60.1,114.9,23.6,228.9,205.3,89.7,23.9,5月9日,6月16日,38,8月25日,8月30日,10月18日,162
2098,2011,矮两优6号,芜湖,6.9,26.7,287,17.4,65.2,125,24.9,195.6,155.1,79.3,23.8,5月13日,6月13日,31,8月14日,8月18日,9月21日,131
2099,2011,矮两优6号,六安,4.4,21.2,381.8,14,66,123,24.1,188,160.7,85.5,24.3,4月28日,5月30日,32,8月3日,8月7日,9月8日,133
2100,2011,矮两优6号,全椒,4.8,34.4,616.7,16.2,47.1,128,24.2,201.3,160.9,79.9,23.8,4月28日,6月3日,36,8月12日,8月14日,9月16日,141
2101,2011,新两优928,省院,5.3,29.2,450.9,18.7,64,115,23.1,167.8,139.3,83,27.5,5月5日,6月7日,33,8月11日,8月14日,9月21日,139
2102,2011,新两优928,凤阳,4.7,23.1,391.5,13.9,60.2,113.3,25.2,256.2,205.3,80.1,24.5,5月9日,6月16日,38,8月25日,8月28日,10月16日,160
2103,2011,新两优928,芜湖,7.2,28.2,291.7,18.4,65.2,121,24.3,186.6,152.3,81.6,25.7,5月13日,6月13日,31,8月17日,8月21日,9月22日,132
2104,2011,新两优928,六安,5.5,22.6,310.9,15.6,69,118,22.9,153.3,137.9,90,27.3,4月28日,5月30日,32,8月5日,8月9日,9月10日,135
2105,2011,新两优928,全椒,4.8,29,504.2,14.6,50.3,122,24.2,201.4,165.9,82.4,27.6,4月28日,6月3日,36,8月9日,8月14日,9月16日,141
2106,2011,天两优399,省院,4.4,22.6,413.6,14.4,63.7,118,23.5,167,152,91,30.5,5月5日,6月7日,33,8月12日,8月15日,9月16日,134
2107,2011,天两优399,凤阳,3.4,22.7,567.6,14.2,62.6,126.7,26.7,201.9,163.2,80.8,30.1,5月9日,6月16日,38,8月26日,8月30日,10月17日,161
2108,2011,天两优399,芜湖,7.5,27.9,272,17.2,61.6,132.3,27.6,180.4,143.8,79.7,28.2,5月13日,6月13日,31,8月15日,8月20日,9月24日,134
2109,2011,天两优399,六安,3.8,18.6,389.5,12.5,67.2,128.3,25,154.2,136.2,88.3,29.3,4月28日,5月30日,32,8月7日,8月11日,9月12日,137
2110,2011,天两优399,全椒,4.6,28.2,513,12.7,45,133.3,25.1,210.4,187.8,89.3,30,4月28日,6月3日,36,8月12日,8月16日,9月18日,143
2111,2011,1892S/C766,省院,4.6,23.2,404.3,15.4,66.4,115,23,232.2,173.7,74.8,27.3,5月5日,6月7日,33,8月11日,8月14日,9月20日,138
2112,2011,1892S/C766,凤阳,3.7,22.3,502.7,13.4,60.1,118.2,25.8,250.2,197.4,78.9,29.8,5月9日,6月16日,38,8月25日,8月28日,10月15日,159
2113,2011,1892S/C766,芜湖,6.9,26.7,287,16.8,62.9,125.8,27.1,200.6,164.1,81.8,26.9,5月13日,6月13日,31,8月21日,8月24日,9月26日,136
2114,2011,1892S/C766,六安,4,19.6,390,13.5,68.9,125.3,23.6,173.3,156.8,90.5,28.5,4月28日,5月30日,32,8月6日,8月10日,9月11日,136
2115,2011,1892S/C766,全椒,4.8,28.2,487.5,14.2,50.4,126.8,24.4,202.7,174.7,86.2,28.7,4月28日,6月3日,36,8月10日,8月13日,9月17日,142
2116,2011,广两优58,省院,4.3,15.2,253.5,11,72.4,127,24.6,279.3,202.4,72.5,26.5,5月5日,6月7日,33,8月16日,8月19日,9月15日,133
2117,2011,广两优58,凤阳,4.5,22.3,395.6,14.9,66.8,119.9,25.6,204.6,160.8,78.6,27.3,5月9日,6月16日,38,8月30日,9月2日,10月15日,159
2118,2011,广两优58,芜湖,8,28.3,253.8,17.3,61.1,132.8,26.2,192.4,157.8,82,25.6,5月13日,6月13日,31,8月21日,8月25日,9月28日,138
2119,2011,广两优58,六安,3.6,17.2,377.8,12.4,72.1,130,23.3,228.3,171.5,75.1,28.4,4月28日,5月30日,32,8月11日,8月15日,9月16日,141
2120,2011,广两优58,全椒,4.8,24.6,412.5,14,56.9,133.8,23.5,209.4,158.8,75.8,27.4,4月28日,6月3日,36,8月11日,8月19日,9月18日,143
2121,2011,福优737,省院,4.1,25.2,514.6,17.5,69.4,120,24,176.6,140.9,79.8,25.5,5月5日,6月7日,33,8月12日,8月15日,9月17日,135
2122,2011,福优737,凤阳,5,26.2,424,17,64.9,108.8,23.5,189.2,160.1,84.6,27.2,5月9日,6月16日,38,8月20日,8月22日,10月9日,153
2123,2011,福优737,芜湖,6.8,27.6,305.9,18.1,65.6,121.7,24.9,173,139.4,80.6,26,5月13日,6月13日,31,8月13日,8月18日,9月21日,131
2124,2011,福优737,六安,4.5,21,366.7,14,66.7,123,24.7,181.3,161.1,88.9,26.7,4月28日,5月30日,32,8月6日,8月10日,9月11日,136
2125,2011,福优737,全椒,4,26,550,17.6,67.7,122.7,24.4,179.2,156.1,87.1,27.8,4月28日,6月3日,36,8月9日,8月12日,9月8日,133
2126,2011,辐78A/恢128,省院,4.2,15,257.1,11.6,77.3,129,23.5,200.3,143.8,71.8,26.3,5月5日,6月7日,33,8月16日,8月19日,9月22日,140
2127,2011,辐78A/恢128,凤阳,4.1,20.7,404.9,13.8,66.7,123.5,27.7,251.8,216,85.8,24.7,5月9日,6月16日,38,8月25日,8月28日,10月15日,159
2128,2011,辐78A/恢128,芜湖,7.1,26.8,277.5,17.6,65.7,141.3,28.2,218.8,171.5,78.4,24.3,5月13日,6月13日,31,8月15日,8月19日,9月22日,132
2129,2011,辐78A/恢128,六安,3.2,15.4,381.3,9.5,61.7,143.7,25.4,266.6,241,90.4,26.8,4月28日,5月30日,32,8月8日,8月12日,9月13日,138
2130,2011,辐78A/恢128,全椒,4.3,28,551.2,15,53.6,142.3,26,211,172.6,81.8,26.1,4月28日,6月3日,36,8月11日,8月14日,9月14日,139
2131,2011,Ⅱ优838（CK）,省院,5.3,22.8,330.2,16.8,73.7,133,26.1,163.8,143.7,87.7,29.4,5月5日,6月7日,33,8月14日,8月17日,9月25日,143
2132,2011,Ⅱ优838（CK）,凤阳,4.4,22.9,420.5,15.5,67.7,122.8,26.3,164.6,150.2,91.3,29.1,5月9日,6月16日,38,8月23日,8月26日,10月12日,156
2133,2011,Ⅱ优838（CK）,芜湖,7.6,27.6,263.2,17.4,63,135.8,26.5,172.1,142.6,82.9,27.6,5月13日,6月13日,31,8月13日,8月17日,9月22日,132
2134,2011,Ⅱ优838（CK）,六安,4.6,21.4,365.2,14.2,66.4,135,25.1,153.3,137.5,89.7,28.3,4月28日,5月30日,32,8月8日,8月12日,9月13日,138
2135,2011,Ⅱ优838（CK）,全椒,5,32.4,548,16.2,50,136.8,26.1,162,141.6,87.4,29.5,4月28日,6月3日,36,8月11日,8月14日,9月13日,138
2136,2011,徽两优16,省院,4.8,24.4,408.3,13.2,54.1,124,23.7,219.9,166.9,75.9,25.6,5月5日,6月7日,33,8月16日,8月19日,9月16日,134
2137,2011,徽两优16,凤阳,4.2,20.8,395.2,13.3,63.9,125,25.6,241.8,212.3,87.8,26.2,5月9日,6月16日,38,8月28日,9月1日,10月24日,168
2138,2011,徽两优16,芜湖,6.5,27.2,318.5,18,66.2,132.7,26.3,204.3,174.3,85.3,24.1,5月13日,6月13日,31,8月14日,8月19日,9月24日,134
2139,2011,徽两优16,六安,3.5,16.6,374.3,12.1,72.9,131,24.4,212,195.8,92.4,25.9,4月28日,5月30日,32,8月6日,8月10日,9月11日,136
2140,2011,徽两优16,全椒,4.6,28,508.7,14.5,51.8,133.7,23.4,246.3,187.4,76.1,25.6,4月28日,6月3日,36,8月14日,8月18日,9月20日,145
2141,2011,W两优127,省院,4.6,31.6,587,14.4,45.6,122,21.5,158.4,114.8,72.5,28.6,5月5日,6月7日,33,8月15日,8月18日,9月23日,141
2142,2011,W两优127,凤阳,3.6,20.6,472.2,12.5,60.7,120.1,25.2,225.8,183.2,81.3,28.9,5月9日,6月16日,38,8月22日,8月25日,10月13日,157
2143,2011,W两优127,芜湖,7,27.4,291.4,17.5,63.9,135.2,25.4,165.9,140.2,84.5,30.6,5月13日,6月13日,31,8月16日,8月20日,9月24日,134
2144,2011,W两优127,六安,3.2,15.1,371.9,10.9,72.2,136.3,25,189.3,172.8,91.3,29.6,4月28日,5月30日,32,8月8日,8月12日,9月13日,138
2145,2011,W两优127,全椒,4.4,25.6,481.8,14.2,55.5,136.3,25.6,198.1,164,82.8,30.6,4月28日,6月3日,36,8月13日,8月16日,9月18日,143
2146,2011,C两优2066,省院,4.5,18.2,304.4,12,65.9,115,22,190.8,169.1,88.6,30.5,5月5日,6月7日,33,8月10日,8月13日,9月16日,134
2147,2011,C两优2066,凤阳,4.6,21.8,373.9,14,64.2,125,23.6,215.8,170.4,79,28.9,5月9日,6月16日,38,8月22日,8月25日,10月14日,158
2148,2011,C两优2066,芜湖,6.4,26.5,314.1,16.9,63.8,133.2,27.7,181.2,148.7,82.1,28.1,5月13日,6月13日,31,8月16日,8月19日,9月22日,132
2149,2011,C两优2066,六安,3.6,17.4,383.3,12.6,72.4,131,24.4,174.8,160.3,91.7,30.1,4月28日,5月30日,32,8月4日,8月8日,9月9日,134
2150,2011,C两优2066,全椒,4.2,24.8,490.5,12.7,51.2,134.2,24.6,197,163.5,83,29.9,4月28日,6月3日,36,8月8日,8月13日,9月16日,141
2151,2011,红两优1号,省院,4.8,24.4,408.3,15.4,63.1,125,23.2,173.9,150.2,86.4,30.5,5月5日,6月7日,33,8月16日,8月19日,9月24日,142
2152,2011,红两优1号,凤阳,3.4,21.5,532.4,13,60.5,123.7,25.5,207.3,164.6,79.4,30.4,5月9日,6月16日,38,8月27日,8月31日,10月18日,162
2153,2011,红两优1号,芜湖,7.7,28,263.6,16.7,59.6,134,25.6,172.3,137.9,80,27.8,5月13日,6月13日,31,8月21日,8月26日,9月30日,140
2154,2011,红两优1号,六安,4,18.5,362.5,13.6,73.5,135,24,148,122.3,82.6,29.2,4月28日,5月30日,32,8月9日,8月13日,9月14日,139
2155,2011,红两优1号,全椒,4.6,30,552.2,13.8,46,135,23.1,175.7,151.8,86.4,29.4,4月28日,6月3日,36,8月14日,8月18日,9月21日,146
2156,2011,福两优1号,省院,4.2,23.8,466.7,19.2,80.7,125,28.7,222,181.1,81.6,26.6,5月5日,6月7日,33,8月15日,8月18日,9月21日,139
2157,2011,福两优1号,凤阳,3.5,23.5,571.4,14.2,60.4,127.4,28,202.6,183.3,90.5,28.6,5月9日,6月16日,38,8月27日,8月29日,10月19日,163
2158,2011,福两优1号,芜湖,6.7,27.8,314.9,17.1,61.5,133.4,25.9,190.7,151,79.2,25.3,5月13日,6月13日,31,8月13日,8月18日,9月22日,132
2159,2011,福两优1号,六安,3.8,17.2,352.6,13,75.6,132,30.1,211.2,177.3,83.9,26.3,4月28日,5月30日,32,8月5日,8月9日,9月10日,135
2160,2011,福两优1号,全椒,4.6,23.4,408.7,14.8,63.2,134.5,29.4,216.5,167.9,77.6,27.1,4月28日,6月3日,36,8月12日,8月15日,9月18日,143
2161,2011,两优010,省院,4.3,21.6,402.3,15.6,72.2,121,23.6,204.5,153.7,75.2,30.6,5月5日,6月7日,33,8月16日,8月19日,9月27日,145
2162,2011,两优010,凤阳,3.3,21.6,554.5,13.4,62,123,26.2,192.2,157.7,82,32.7,5月9日,6月16日,38,8月27日,8月31日,10月24日,168
2163,2011,两优010,芜湖,5.9,25.2,327.1,16.3,64.7,137.8,28.1,198.4,165.7,83.5,28.8,5月13日,6月13日,31,8月16日,8月21日,9月26日,136
2164,2011,两优010,六安,3.9,18.4,371.8,13.6,73.9,135,24.5,153.8,137.6,89.5,27.5,4月28日,5月30日,32,8月9日,8月13日,9月14日,139
2165,2011,两优010,全椒,4,26.4,560,14.8,56.1,138.8,26.3,191.7,159,82.9,30.6,4月28日,6月3日,36,8月11日,8月16日,9月19日,144
2166,2011,广两优295,省院,5.4,26.8,396.3,16.6,61.9,119,23.5,159.1,129.7,81.5,32.2,5月5日,6月7日,33,8月6日,8月9日,9月10日,128
2167,2011,广两优295,凤阳,4.2,22.7,440.5,14.6,64.3,117.8,25.3,171.9,140,81.4,32.5,5月9日,6月16日,38,8月16日,8月19日,9月28日,142
2168,2011,广两优295,芜湖,6.6,26.3,298.5,16.2,61.6,126.8,24.4,163.5,134.6,82.3,29.3,5月13日,6月13日,31,8月11日,8月15日,9月19日,129
2169,2011,广两优295,六安,5.6,23.4,317.9,15.8,67.5,116,22.2,135.9,125.5,92.3,31.3,4月28日,5月30日,32,7月30日,8月2日,9月2日,127
2170,2011,广两优295,全椒,5,26.4,428,14.2,53.8,127.8,26.9,171.4,145.7,85,31.2,4月28日,6月3日,36,8月3日,8月7日,9月3日,128
2171,2011,宝两优3号,省院,4.5,21.8,384.4,16.8,77.1,130,27,199.7,159.2,79.7,26.5,5月5日,6月7日,33,8月12日,8月15日,9月20日,138
2172,2011,宝两优3号,凤阳,5.3,23.9,350.9,14.5,60.7,137.4,29,208.9,167.6,80.2,27.7,5月9日,6月16日,38,8月28日,8月31日,10月20日,164
2173,2011,宝两优3号,芜湖,7.3,28.4,289,17.8,62.7,142,27.6,193.2,152,78.7,24.8,5月13日,6月13日,31,8月16日,8月20日,9月24日,134
2174,2011,宝两优3号,六安,3.4,16.1,373.5,12,74.5,135.7,28.1,210,192.8,91.8,27.1,4月28日,5月30日,32,8月6日,8月10日,9月11日,136
2175,2011,宝两优3号,全椒,4.2,26.4,528.6,17.2,65.2,144,26.8,194.8,157.9,81.1,26.8,4月28日,6月3日,36,8月10日,8月13日,9月16日,141
2176,2011,荣1优航8269,省院,4.3,19,341.9,14.5,76.3,126,21,159.9,128.3,80.2,27,5月5日,6月7日,33,8月9日,8月12日,9月17日,135
2177,2011,荣1优航8269,凤阳,3.8,23.8,526.3,15.4,64.7,117.5,23.8,218.7,174.3,79.7,26.7,5月9日,6月16日,38,8月19日,8月21日,10月13日,157
2178,2011,荣1优航8269,芜湖,8.2,30.1,267.1,18.2,60.5,127.2,25.5,196.6,161.6,82.2,25.6,5月13日,6月13日,31,8月13日,8月17日,9月21日,131
