序号,年份,组合,试点,基本苗（万/亩）,最高苗（万/亩）,分蘖率(%),有效穗（万/亩）,成穗率（%）,株高（cm）,穗长（cm）,每穗总粒数,每穗实粒数,结实率(%),千粒重(g),播期（月/日）,栽期（月/日）,秧龄/天,始穗（月/日）,齐穗（月/日）,成熟期（月/日）,全生育期（天）
208,2009,固香二号,芜湖,7.5,28.4,278.7,17.5,61.6,124.8,22.5,184.4,150.6,81.7,24.5,5月8日,6月9日,32,8月10日,8月14日,9月12日,127
209,2009,固香二号,六安,3.1,27.4,783.9,19.6,71.5,129.2,21.6,203.3,134.5,66.2,26.2,4月28日,5月30日,31,8月9日,8月11日,9月13日,138
210,2009,固香二号,全椒,3.9,27.8,612.8,17.8,64,130,22.4,210.6,163,77.4,23.1,4月30日,6月3日,34,8月12日,8月16日,9月10日,133
211,2009,绿香1378A/HR57,省院,3.4,21,517.6,13.8,65.7,128,25.8,184.6,136.4,73.9,31.1,5月5日,6月6日,32,8月13日,8月16日,9月20日,138
212,2009,绿香1378A/HR57,凤阳,3.5,22.4,540,13.8,61.6,115.9,24.7,141.3,126.3,89.4,36,5月7日,6月13日,37,8月22日,8月24日,9月30日,146
213,2009,绿香1378A/HR57,芜湖,6.9,29,320.3,16.6,57.2,128.5,26.9,171.3,137,80,32.8,5月8日,6月9日,32,8月12日,8月16日,9月18日,133
214,2009,绿香1378A/HR57,六安,3.4,27,694.1,15,55.6,130.5,24.1,154.1,117.2,76.1,33,4月28日,5月30日,31,8月12日,8月14日,9月18日,143
215,2009,绿香1378A/HR57,全椒,3.8,23.6,520.1,18.4,77.9,136.7,24,151.5,108.9,71.9,34.2,4月30日,6月3日,34,8月14日,8月18日,9月15日,138
216,2009,天丰优8012,省院,3.6,20.4,466.7,14.8,72.5,127,22.4,202.9,153.4,75.6,25.2,5月5日,6月6日,32,8月13日,8月16日,9月20日,138
217,2009,天丰优8012,凤阳,3.6,24.2,572.2,15.5,64,122.3,21,146.8,118.2,80.5,29,5月7日,6月13日,37,8月19日,8月21日,9月30日,146
218,2009,天丰优8012,芜湖,7.3,28.1,284.9,17.3,61.6,126.6,22.6,175.3,143.9,82.1,27.5,5月8日,6月9日,32,8月11日,8月15日,9月16日,131
219,2009,天丰优8012,六安,3.9,30.6,684.6,15.2,49.7,125.3,20,159.6,132,85.7,26.2,4月28日,5月30日,31,8月10日,8月12日,9月20日,145
220,2009,天丰优8012,全椒,4.8,31.8,562.5,16.4,51.6,129,20.9,172.6,131.2,76,26.6,4月30日,6月3日,34,8月10日,8月15日,9月15日,138
221,2009,19A/7P033,省院,3.2,21.6,575,13,60.2,135,28.4,230.1,181.5,78.9,25.4,5月5日,6月6日,32,8月4日,8月7日,9月13日,131
222,2009,19A/7P033,凤阳,3.6,22,511.1,13.4,60.9,117.7,25.6,250.9,206,82.1,25.9,5月7日,6月13日,37,8月13日,8月16日,9月17日,133
223,2009,19A/7P033,芜湖,6.7,26.8,300,17,63.4,131.1,26.5,180.9,147.1,81.3,26,5月8日,6月9日,32,8月1日,8月5日,9月3日,118
224,2009,19A/7P033,六安,6,24.4,306.7,16.5,67.6,141.2,22.5,170.3,128.4,75.4,27,4月28日,5月30日,31,7月31日,8月2日,9月7日,132
225,2009,19A/7P033,全椒,5.6,35.6,535.7,17.9,50.3,134.5,22.5,167.2,125.7,75.2,26.2,4月30日,6月3日,34,8月3日,8月6日,9月9日,132
226,2009,Ⅱ优838（CK）,省院,3.4,16.4,382.4,12.6,76.8,132,25.6,185.4,157.2,84.8,25.6,5月5日,6月6日,32,8月11日,8月14日,9月20日,138
227,2009,Ⅱ优838（CK）,凤阳,4,25.9,547.5,16,61.8,120.5,21.9,161.8,145.8,90.1,29,5月7日,6月13日,37,8月19日,8月22日,10月1日,147
228,2009,Ⅱ优838（CK）,芜湖,7.4,28.7,287.8,18.1,63.1,130.2,23.5,170.6,142.3,83.4,28.2,5月8日,6月9日,32,8月11日,8月15日,9月17日,132
229,2009,Ⅱ优838（CK）,六安,5.3,28.6,439.6,16.2,56.6,131.6,22.1,172.6,148.5,86,26.8,4月28日,5月30日,31,8月10日,8月14日,9月17日,142
230,2009,Ⅱ优838（CK）,全椒,6.4,36.4,468.8,17.8,48.9,138.5,21.3,146.8,124.3,84.7,27.5,4月30日,6月3日,34,8月12日,8月17日,9月13日,136
231,2009,香优206,省院,4.2,22,423.8,14.4,65.5,126,25.2,186.4,144,77.3,25.3,5月5日,6月6日,32,8月15日,8月17日,9月23日,141
232,2009,香优206,凤阳,3.8,24.3,539.5,15.9,65.4,120.7,22.7,171.6,144.8,84.4,29.9,5月7日,6月13日,37,8月23日,8月25日,10月8日,154
233,2009,香优206,芜湖,7.2,27.5,281.9,18.2,66.2,129.4,23.9,173.8,134.7,77.5,27.7,5月8日,6月9日,32,8月13日,8月16日,9月17日,132
234,2009,香优206,六安,3.5,28.4,711.4,16.3,57.4,132,22.3,168.2,120.1,71.4,27.6,4月28日,5月30日,31,8月15日,8月17日,9月18日,143
